"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"3CL","3CL-DPE, version 1.3","2013-04-10",112,"C",20,"C",2001,115,48.65848,7.8377978,"Location","Maison Individuelle","35410","35","Rue de la Perche (Chemin piéton) La Wantzenau",0.79
"Méthode Facture",,"2013-04-17",101,"C",3,"A",1947,118,,,"Vente","Maison Individuelle","36400","36",,0
"3CL - DPE","V2012","2013-04-03",265.27,"E",62.07,"F",1900,70,47.3265242,0.4083359,"Vente","Maison Individuelle","37038","37","Place Léon Boyer (Parking) Langeais",0.75
"3CL","3CL-DPE, version 1.3","2013-04-05",293,"E",15,"C",2006,91,,,"Vente","Maison Individuelle","38780","38",,0
"3CL - DPE","V2012","2013-05-04",318.28,"E",17.88,"C",1977,90,47.149928,5.549608,"Vente","Maison Individuelle","39121","39","1 Chemin des Sablonnières 39700 Châtenois",0.73
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-16",140,"C",4,"A",2001,164,,,"Vente","Maison Individuelle","40090","40",,0
"3CL - DPE","V2012","2013-04-09",327.95,"E",19.18,"C",1975,107.6,47.499183,1.166697,"Vente","Maison Individuelle","41167","41","4 Rue des Champs Marquiers 41150 Veuzain-sur-Loire",0.94
"3CL","3CL-DPE, version 1.3","2013-04-05",97,"C",4,"A",1984,125,48.5871504,0.8671377,"Vente","Maison Individuelle","42410","42","Allée de la Moinerie (Chemin) La Ferté-Vidame",0.73
"3CL - DPE","V2012","2013-04-03",0,"N",0,"N",1947,71,47.9910304,2.212915,"Vente","Logement","43151","43","Le Bourg (Bar) Ingrannes",0.9
"3CL - DPE","V2012","2013-04-10",80.45,"B",18.03,"C",2012,75.3,48.7567373,6.9106479,"Location","Logement","44109","44","Quartier des Poissons (Chemin piéton) Rhodes",0.78
"TROIS_CL_DPE","VERSION_2012","2013-04-09",140.94,"C",32.98,"D",2010,112.77,,,"Location","Maison Individuelle","45072","45",,0
"3CL - DPE","V2012","2013-05-06",197.53,"D",7.94,"B",1982,53.5,,,"Vente","Logement","46145","46",,0
"3CL - DPE","V2012","2013-04-16",260.64,"E",60.99,"F",1960,82,44.191956,0.623322,"Location","Maison Individuelle","47001","47","306 Rue Ferdinand David 47000 Agen",0.77
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-04",336,"F",18,"C",1978,120,47.381092,-0.8586556,"Location","Maison Individuelle","48200","48","Montjean-sur-Loire - Rue des Crêtes (Arrêt de bus) Mauges-sur-Loire",0.73
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",306,"E",61,"F",1948,128,47.2082015,-0.5478855,"Vente","Maison Individuelle","49328","49","Route de Doué (Pont) Chemillé-en-Anjou",0.83
"3CL","3CL-DPE, version 1.3","2013-04-11",212,"D",63,"F",1948,124,49.1610179,-0.4249864,"Vente","Maison Individuelle","50690","50","Le Bas Manoir (Maison d'hôte) Bretteville-sur-Odon",0.89
"TROIS_CL_DPE","VERSION_2012","2013-04-16",423.08,"F",25.89,"D",1975,110,,,"Vente","Maison Individuelle","51050","51",,0
"Méthode Facture",,"2013-04-24",125,"C",29,"D",1947,104,47.683279,5.348809,"Vente","Maison Individuelle","52170","52","Chemin du Grand Viau 52190 Dommarien",0.34
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",150,"C",22,"D",1990,110.05,44.6244142,-1.1576556,"Vente","Maison Individuelle","53810","53","Rue des Passereaux (Chemin piéton) La Teste-de-Buch",0.74
"3CL","3CL-DPE, version 1.3","2013-04-06",282,"E",69,"F",1948,118,48.558182,6.965191,"Vente","Maison Individuelle","54540","54","Rue de Petitmont 54480 Val-et-Châtillon",0.49
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-10",181,"D",42,"E",1948,93,,,"Vente","Maison Individuelle","55000","55",,0
"3CL - DPE","V2012","2013-04-01",383.89,"F",93.15,"G",1970,89,,,"Vente","Maison Individuelle","56049","56",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-11",149.59,"C",6.7,"B",2008,131,49.1854336,6.9409616,"Vente","Maison Individuelle","57048","57","Rue Sainte-Croix (Chemin) Etzling",0.71
"3CL - DPE","V2012","2013-04-30",273.05,"E",52.26,"E",1940,85.12,43.4087037,5.9203351,"Location","Maison Individuelle","58042","58","Parking Avenue Gambetta Tourves",0.83
"TROIS_CL_DPE","VERSION_2012","2013-04-12",257.96,"E",10.81,"B",2012,39.75,50.3831359,3.060796,"Location","Logement","59350","59","Rue du Pavé de Planque (Chemin piéton) Douai",0.71
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-12",395,"F",92,"G",1948,90,49.603279,2.553474,"Vente","Maison Individuelle","60200","60","4 Rue de Godenvillers 60420 Domfront",0.33
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",293,"E",56,"F",1948,110,48.515643,0.737375,"Vente","Maison Individuelle","61220","61","La Pouliniere 61290 Longny les Villages",0.55
"3CL - DPE","V2012","2013-04-08",145.82,"C",27.45,"D",1976,88.48,50.585671,2.670818,"Vente","Maison Individuelle","62252","62","555 Rue des Lobes 62136 La Couture",0.94
"Facture","facture","2013-04-12",0,"N",0,"N",1948,135,45.8004286,3.2436326,"Vente","Maison Individuelle","63310","63","Auto Ecole de la Limagne (École de conduite) Pont-du-Château",0.75
"3CL - DPE","V2012","2013-04-10",329.01,"E",76.99,"F",1965,84.75,43.323872,-0.356695,"Vente","Maison Individuelle","64445","64","24 Rue de Lacq 64000 Pau",0.96
"3CL - DPE","V2012","2013-04-11",143.68,"C",4.01,"A",1930,171,43.197723,0.150161,"Vente","Maison Individuelle","65010","65","Avenue de Toulouse 65690 Angos",0.66
"3CL - DPE","V2012","2013-04-04",494.04,"G",29.29,"D",1972,51,42.547621,2.382193,"Vente","Logement","66222","66","11 Promenade Claude Nogue 66820 Vernet-les-Bains",0.8
"3CL - DPE","V2012","2013-04-13",147.87,"C",23.21,"D",1963,188,49.6065978,0.7840667,"Vente","Maison Individuelle","67069","67","parking de la rue de la mairie Saint-Clair-sur-les-Monts",0.77
"3CL - DPE","V2012","2013-04-13",363.57,"F",11.84,"C",1940,82.9,48.262866,7.226121,"Vente","Maison Individuelle","68294","68","60 Rue Maurice Burrus 68160 Sainte-Croix-aux-Mines",0.94
"3CL - DPE","V2012","2013-04-10",416.56,"F",21.73,"D",1980,100.71,46.8282093,3.4806003,"Vente","Maison Individuelle","69275","69","Avenue de Verdun / Rue des Pendants (Arrêt de bus) Decize",0.73
"Méthode Facture",,"2013-04-20",196,"D",44,"E",1947,124.01,49.0960815,2.5197991,"Location","Maison Individuelle","70400","70","4 Rue Jean Jaurès (Arrêt de bus) Marly-la-Ville",0.8
"Méthode Facture",,"2013-04-16",269,"E",63,"F",1947,59.52,,,"Vente","Logement","71600","71",,0
"3CL - DPE","V2012","2013-04-06",205.59,"D",48.11,"E",1963,85,47.999064,0.232017,"Vente","Maison Individuelle","72181","72","13 Impasse Douce Amie 72000 Le Mans",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-29",231,"E",69,"F",1989,120,49.3100045,1.03666,"Vente","Maison Individuelle","73350","73","La Traverse (Théâtre) Cléon",0.89
"3CL","3CL-DPE, version 1.3","2013-04-10",197,"D",10,"B",1993,64.85,,,"Vente","Logement","74200","74",,0
"Méthode Facture",,"2013-04-11",249,"E",15,"C",1947,54,48.930427,2.416435,"Vente","Logement","75013","75","32 Rue de Verdun 93350 Le Bourget",0.57
"3CL - DPE","V2012","2013-04-08",243.74,"E",57.04,"F",1980,31.74,,,"Vente","Logement","76183","76",,0
"3CL","3CL-DPE, version 1.3","2013-04-09",203,"D",47,"E",1975,150,48.9385366,2.8587776,"Vente","Maison Individuelle","77135","77","Rue de l'Étrier (Chemin piéton) Villenoy",0.74
"FACTURE","VERSION_2012","2013-04-12",261.42,"E",0,"A",1970,8.75,48.7621386,2.1483769,"Vente","Logement","78646","78","Rue Mansart (Chemin piéton) Les Loges-en-Josas",0.75
"3CL","3CL-DPE, version 1.3","2013-04-03",326,"E",18,"C",1983,69.84,46.7578742,1.7087561,"Vente","Maison Individuelle","79800","79","Chemin Rural de la Barrière d'Arnault à la Rue Le Poinçonnet",0.77
"3CL","3CL-DPE, version 1.3","2013-04-08",200,"D",6,"B",2001,99,49.865864,1.839934,"Vente","Maison Individuelle","80800","80","4 Rue Principale 80140 Villers-Campsart",0.38
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",333,"F",100,"G",1948,144.6,43.602989,2.227117,"Vente","Maison Individuelle","81065","81","80 Chemin du Corporal 81100 Castres",0.96
"3CL - DPE","V2012","2013-04-12",280.67,"E",13.56,"C",2008,85,43.881069,1.251125,"Vente","Maison Individuelle","82017","82","192 Rue Jules Ferry 82170 Bessens",0.94
"3CL - DPE","V2012","2013-04-09",228.7,"D",9.19,"B",1985,24.89,48.6075031,2.3068558,"Vente","Logement","83071","83","Place Victor Hugo (Espace vert) Brétigny-sur-Orge",0.9
"TROIS_CL_DPE","VERSION_2012","2013-04-15",118.16,"C",25.02,"D",1970,150,44.09264,4.914645,"Vente","Maison Individuelle","84039","84","236 Chemin des Sarrassanes 3 84350 Courthézon",0.94
"3CL - DPE","V2012","2013-04-03",0,"N",0,"N",1980,93.64,47.023082,-2.292857,"Vente","Maison Individuelle","85163","85","4 Residence Janvier 85330 Noirmoutier-en-l'Île",0.95
"3CL","3CL-DPE, version 1.3","2013-04-09",194,"D",9,"B",2006,111.03,49.1596392,2.3378909,"Vente","Maison Individuelle","86580","86","Allée Joseph Marie Jacquard (Chemin piéton) Bruyères-sur-Oise",0.74
"FACTURE - DPE","V2012","2013-04-09",131.56,"C",22.29,"D",2006,101,45.510319,1.3153,"Neuf","Maison Individuelle","87049","87","9 Rue de l'Oradour 87500 Coussac-Bonneval",0.85
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-10",221,"D",10,"B",1989,112,48.191924,6.285619,"Vente","Maison Individuelle","88210","88","Rue de la Gitte 88270 Gorhey",0.39
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-29",328,"E",15,"C",1981,90,,,"Vente","Maison Individuelle","89500","89",,0
"3CL - DPE","V2012","2013-04-12",374.33,"F",87.59,"G",1950,61.5,47.64196,6.852431,"Vente","Logement","90010","90","24 Boulevard Jean-marie de Lattre de Tassigny 90000 Belfort",0.92
"3CL","3CL-DPE, version 1.3","2013-04-08",146,"C",34,"D",1989,123.4,47.6204479,6.8337011,"Vente","Maison Individuelle","91510","91","Grande Rue François Mitterrand (Pont) Bavilliers",0.76
"TROIS_CL_DPE","VERSION_2012","2013-04-08",242.02,"E",11.68,"C",1980,64.05,48.892677,2.248853,"Location","Logement","92026","92","25 Rue d''Essling 92400 Courbevoie",0.96
"Méthode Facture",,"2013-04-12",153,"D",35,"D",1,84,,,"Vente","Logement","93270","93",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-11",233,"E",22,"D",2006,39,,,"Location","Logement",,"94",,0
"Méthode Facture",,"2013-04-11",323,"E",75,"F",1947,90,48.8053055,2.1719537,"Vente","Logement","95470","95","Square de la Chapelle (Aire de jeux) Viroflay",0.82
"Méthode Facture",,"2013-04-15",286,"E",9,"B",1,106.87,48.8474569,2.4369967,"Vente","Maison Individuelle","01450","01","28 avenue du Château (Parking à vélos) Vincennes",0.77
"3CL - DPE","V2012","2013-04-17",200.38,"D",41.81,"E",1947,136,49.6932254,3.2076958,"Vente","Maison Individuelle","2336","02","Rue du Bois l'Abbé (Chemin) Flavy-le-Martel",0.77
"Méthode Facture",,"2013-04-21",158,"D",37,"E",1947,137,45.9718838,3.2546219,"Vente","Maison Individuelle","03800","03","Rue Croix des Rameaux (Chemin) Thuret",0.73
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-08",48,"A",0,"A",2011,103,43.855482,6.650305,"Location","Maison Individuelle","04210","04","Chemin du Teillon 04120 Soleilhas",0.33
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-07",365,"F",23,"D",1948,205,,,"Vente","Maison Individuelle","05200","05",,0
"3CL","3CL-DPE, version 1.3","2013-04-08",71,"B",16,"C",1989,78,,,"Vente","Logement","06800","06",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-12",343,"F",18,"C",1960,69.56,,,"Vente","Logement","07130","07",,0
"Méthode Facture",,"2013-04-30",0,"N",0,"N",1947,67.83,,,"Vente","Logement","08000","08",,0
"Méthode Facture",,"2013-05-06",179,"D",42,"E",1947,274.6,48.7669697,2.4147189,"Vente","Maison Individuelle","09500","09","Avenue Victor Hugo (Pont) Choisy-le-Roi",0.77
"3CL - DPE","V2012","2013-05-02",292.71,"E",87.81,"G",1974,152,48.058214,4.13875,"Vente","Maison Individuelle","10080","10","1 Rue des Cannes 10210 Chaource",0.94
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",145,"C",6,"B",1978,35,,,"Vente","Logement","11430","11",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",654,"G",8,"B",1948,18,44.3022979,2.7443963,"Vente","Maison Individuelle","12290","12","Montredon (Pic) Le Vibal",0.9
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-08",107,"C",32,"D",1989,136,,,"Vente","Maison Individuelle","13610","13",,0
"3CL","3CL-DPE, version 1.3","2013-04-13",169,"D",39,"E",1989,98,,,"Vente","Maison Individuelle","14790","14",,0
"Méthode Facture",,"2013-05-21",0,"N",0,"N",1947,82,44.8835742,2.3748939,"Vente","Maison Individuelle","15310","15","Z.A. de Bargues (Usine) Sansac-de-Marmiesse",0.88
"FACTURE - DPE","V2012","2013-04-09",28.32,"A",6.63,"B",2006,87.5,45.63127,0.166008,"Neuf","Maison Individuelle","16015","16","Hameau des Rossignols 16000 Angoulême",0.86
"FACTURE","VERSION_2012","2013-04-05",64.42,"B",0.99,"A",1940,109.5,47.3373928,0.0537632,"Vente","Maison Individuelle","17044","17","Chemin de la Poitevinière La Breille-les-Pins",0.83
"3CL - DPE","V2012","2013-04-24",282.94,"E",15.38,"C",2003,95,47.35971,2.870519,"Vente","Maison Individuelle","18020","18","Le Rochoy 18300 Bannay",0.36
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",158,"D",37,"E",2000,47,45.355114,1.641295,"Vente","Logement","19100","19","2 Résidence Las Borias 19700 Lagraulière",0.33
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",219,"D",7,"B",2012,110,47.235877,4.689604,"Vente","Maison Individuelle","21120","21","Puits Roland 21360 La Bussière-sur-Ouche",0.3
"TROIS_CL_DPE","VERSION_2012","2013-04-29",276.18,"E",35.73,"D",1975,133,48.699613,-3.368472,"Vente","Maison Individuelle","22030","22","Crech Ar Iar 22300 Caouënnec-Lanvézéac",0.38
"Méthode Facture",,"2013-04-17",154,"D",33,"D",1947,163,,,"Vente","Maison Individuelle","23300","23",,0
"FACTURE - DPE","V2012","2013-05-02",58.71,"N",1.91,"N",1948,140,48.865011,2.28336,"Vente","Maison Individuelle","75056","24","Impasse des Prêtres 75016 Paris",0.3
"Méthode Facture",,"2013-04-24",246,"E",8,"B",1947,42,43.6157198,3.8756816,"Vente","Logement","25200","25","Quai des Tanneurs (Piste cyclable) Montpellier",0.8
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",225,"D",52,"E",1948,80,44.174767,5.639571,"Vente","Logement","26200","26","Route de Villevieille 26560 Montfroc",0.33
"TROIS_CL_DPE","VERSION_2012","2013-04-19",425.86,"F",102.09,"G",1967,68.2,48.989161,1.162948,"Vente","Maison Individuelle","27017","27","23 Rue du Parc 27930 Angerville-la-Campagne",0.6
"TROIS_CL_DPE","VERSION_2012","2013-04-12",324.38,"E",18.48,"C",1973,84,48.342988,1.498835,"Vente","Maison Individuelle","28122","28","10 Rue de la Vigne 28360 Dammarie",0.6
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",96,"C",4,"A",2009,121.8,48.6220013,7.7210547,"Vente","Maison Individuelle","29870","29","Rue de la Fontaine (Pont) Hœnheim",0.77
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-06",191,"D",8,"B",1968,61.05,44.6362361,-1.0513371,"Vente","Logement","20000","2A","Rue de Marengo (Pont) Gujan-Mestras",0.75
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-15",271,"E",16,"C",2001,160,,,"Vente","Maison Individuelle","20218","2B",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-09",185,"D",7,"B",1989,73,43.6499136,6.9217641,"Vente","Logement","30420","30","Avenue Frédéric Mistral (Pont) Grasse",0.83
"3CL","3CL-DPE, version 1.3","2013-04-09",221,"D",11,"C",2001,49.41,,,"Vente","Logement","31300","31",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-19",208.37,"D",10.65,"B",1985,100,43.6417119,0.5950781,"Vente","Maison Individuelle","32001","32","Résidence Les Terrasses (Zone résidentielle) Auch",0.9
"3CL","3CL-DPE, version 1.3","2013-04-09",293,"E",16,"C",1948,45.22,43.6676422,4.629859,"Location","Logement","33650","33","Place Montesquieu (Parking) Arles",0.76
"3CL - DPE","V2012","2013-04-10",144.13,"C",4.44,"A",1996,67,48.4646741,0.0666913,"Vente","Maison Individuelle","34022","34","Rue de Lonray (Chemin) Colombiers",0.76
"3CL","3CL-DPE, version 1.3","2013-04-11",276,"E",35,"D",1948,105.07,,,"Vente","Maison Individuelle","35000","35",,0
"Méthode Facture",,"2013-04-15",192,"D",6,"B",1947,91,47.9910304,2.212915,"Vente","Maison Individuelle","36400","36","Le Bourg (Bar) Ingrannes",0.9
"3CL","3CL-DPE, version 1.3","2013-04-11",147,"C",34,"D",1989,200,48.3777185,0.570419,"Vente","Maison Individuelle","37400","37","Rue de la Fuie (Chemin) Bellême",0.72
"Méthode Facture",,"2013-04-05",211,"D",33,"D",1947,97.5,,,"Location","Logement","38200","38",,0
"3CL - DPE","V2012","2013-05-04",306.73,"E",71.78,"F",1949,83.42,46.729853,5.497603,"Vente","Maison Individuelle","39471","39","145 Bard 39140 Ruffey-sur-Seille",0.94
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-12",132,"C",6,"B",1983,175,43.524147,-1.3545764,"Vente","Maison Individuelle","40390","40","Route de Saint-Barthélemy (Pont) Saint-Martin-de-Seignanx",0.83
"3CL - DPE","V2012","2013-04-15",159.22,"D",37.26,"E",1983,112,47.503108,1.179005,"Vente","Maison Individuelle","41167","41","1 Rue du Docteur Jean Girault 41150 Veuzain-sur-Loire",0.8
"3CL","3CL-DPE, version 1.3","2013-04-10",468,"G",111,"G",1948,64.23,46.091855,4.303782,"Vente","Maison Individuelle","42300","42","Rue du Bas Lamure 42460 Sevelinges",0.31
"3CL - DPE","V2012","2013-04-03",0,"N",0,"N",1947,32,47.9910304,2.212915,"Vente","Logement","43151","43","Le Bourg (Bar) Ingrannes",0.9
"3CL","3CL-DPE, version 1.3","2013-04-09",204,"D",8,"B",2001,42.03,,,"Vente","Logement","44600","44",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-11",282.4,"E",16.24,"C",1980,67.16,47.898634,1.897908,"Location","Logement","45234","45","2 bis Rue Stanislas Julien 45000 Orléans",0.96
"3CL - DPE","V2012","2013-05-06",268.74,"E",62.89,"F",1974,117,,,"Vente","Maison Individuelle","46180","46",,0
"FACTURE - DPE","V2012","2013-04-26",140.75,"N",4.58,"N",1948,47,44.205496,0.629098,"Vente","Logement","47001","47","24 Avenue Henri-barbusse 47000 Agen",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",657,"G",41,"E",1975,32,,,"Vente","Logement","48000","48",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-18",220,"D",11,"C",1948,104.5,,,"Location","Maison Individuelle","49650","49",,0
"3CL","3CL-DPE, version 1.3","2013-04-11",212,"D",63,"F",1948,124,49.1610179,-0.4249864,"Vente","Maison Individuelle","50690","50","Le Bas Manoir (Maison d'hôte) Bretteville-sur-Odon",0.89
"3CL - DPE","V2012","2013-04-18",301.95,"E",15.35,"C",1996,55,49.245055,4.048525,"Vente","Logement","51454","51","91 bis Boulevard Henry Vasnier 51100 Reims",0.96
"3CL - DPE","V2012","2013-05-03",155,"D",7,"B",2004,152,,,"Vente","Maison Individuelle","0","52",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-17",219,"D",51,"E",1948,105,47.865367,1.9026384,"Vente","Maison Individuelle","53000","53","Rue Jules Marie Simon (Chemin piéton) Olivet",0.84
"Méthode Facture",,"2013-04-15",227,"D",53,"E",1947,52,49.4845616,6.2535542,"Vente","Logement","54000","54","Rue Pasteur (Pont) Puttelange-lès-Thionville",0.77
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-24",363,"F",85,"G",1948,114,48.5500757,-1.7428191,"Vente","Maison Individuelle","55000","55","Allée des Platanes (Chemin) Dol-de-Bretagne",0.76
"3CL - DPE","V2012","2013-04-10",228.21,"D",35.76,"D",1947,197,,,"Vente","Maison Individuelle","56264","56",,0
"TROIS_CL_DPE","VERSION_2012","2013-04-11",454.77,"G",88.51,"G",1960,217,46.0876262,5.8337163,"Vente","Maison Individuelle","57606","57","Rue des Vergers (Pont) Éloise",0.79
"3CL - DPE","V2012","2013-05-03",212,"D",11,"C",2005,91,43.6827478,3.0958678,"Vente","Maison Individuelle","02198","58","Chemin Graissessac",0.8
